in:HVAC System Type,in:Plant Performance,in:Outdoor Air Quantity,in:Percent Glazing [%],in:Glazing Performance,in:Lighting Power,in:Avg. Workstation Power [W],in:Roof PV Coverage [%],out:AHU Sizing [CFM/SF],out:Cooling [EUI],out:Heating [EUI],out:Lights/Plug [EUI],out:Fan/Pump [EUI],out:PV [EUI],out:Utility Cost [$/SF-yr],out:Total [EUI]
DOAS,Low,30% increase,0.3,Medium,WSEC Baseline,Med [300W],25,0.3,4.7,16.6,27.5,9.4,-2.6,0.544,55.7
DOAS,Low,30% increase,0.3,Low,WSEC Baseline,Med [300W],25,0.3,5,16.5,27.5,9.5,-2.6,0.547,55.9
DOAS,Low,30% increase,0.4,High,WSEC Baseline,Med [300W],25,0.3,4.7,17.4,27.5,9.4,-2.6,0.55,56.4
DOAS,Low,30% increase,0.4,Medium,WSEC Baseline,Med [300W],25,0.3,4.8,17.5,27.5,9.5,-2.6,0.553,56.7
DOAS,Low,30% increase,0.4,Low,WSEC Baseline,Med [300W],25,0.3,5.1,17.4,27.5,9.6,-2.6,0.557,57.1
DOAS,Low,30% increase,0.5,High,WSEC Baseline,Med [300W],25,0.3,4.7,18.2,27.5,9.5,-2.6,0.558,57.4
DOAS,Low,30% increase,0.5,Medium,WSEC Baseline,Med [300W],25,0.3,4.9,18.3,27.5,9.5,-2.6,0.561,57.7
DOAS,Low,30% increase,0.5,Low,WSEC Baseline,Med [300W],25,0.3,5.3,18.3,27.5,9.7,-2.6,0.566,58.1
DOAS,Low,30% increase,0.6,High,WSEC Baseline,Med [300W],25,0.3,4.8,19,27.5,9.5,-2.6,0.565,58.2
DOAS,Low,30% increase,0.6,Medium,WSEC Baseline,Med [300W],25,0.3,5.1,19.1,27.5,9.6,-2.6,0.569,58.6
DOAS,Low,30% increase,0.6,Low,WSEC Baseline,Med [300W],25,0.3,5.5,19.1,27.5,9.7,-2.6,0.575,59.1
DOAS,Low,30% increase,0.3,High,WSEC Baseline,High [400W],25,0.3,5.4,15.9,32,9.5,-2.6,0.595,60.2
DOAS,Low,30% increase,0.3,Medium,WSEC Baseline,High [400W],25,0.3,5.5,15.9,32,9.6,-2.6,0.597,60.5
DOAS,Low,30% increase,0.3,Low,WSEC Baseline,High [400W],25,0.3,5.7,15.9,32,9.7,-2.6,0.6,60.7
DOAS,Low,30% increase,0.4,High,WSEC Baseline,High [400W],25,0.3,5.4,16.7,32,9.6,-2.6,0.602,61.1
DOAS,Low,30% increase,0.4,Medium,WSEC Baseline,High [400W],25,0.3,5.6,16.8,32,9.6,-2.6,0.605,61.4
DOAS,Low,30% increase,0.4,Low,WSEC Baseline,High [400W],25,0.3,5.9,16.7,32,9.8,-2.6,0.609,61.9
DOAS,Low,30% increase,0.5,High,WSEC Baseline,High [400W],25,0.3,5.5,17.5,32,9.6,-2.6,0.61,62
DOAS,Low,30% increase,0.5,Medium,WSEC Baseline,High [400W],25,0.3,5.7,17.6,32,9.7,-2.6,0.613,62.4
DOAS,Low,30% increase,0.5,Low,WSEC Baseline,High [400W],25,0.3,6.1,17.6,32,9.8,-2.6,0.619,62.9
DOAS,Low,30% increase,0.6,High,WSEC Baseline,High [400W],25,0.3,5.6,18.3,32,9.7,-2.6,0.617,62.9
DOAS,Low,30% increase,0.6,Medium,WSEC Baseline,High [400W],25,0.3,5.8,18.4,32,9.8,-2.6,0.621,63.4
DOAS,Low,30% increase,0.6,Low,WSEC Baseline,High [400W],25,0.3,6.3,18.4,32,9.9,-2.6,0.628,64
VAV,Low,Minimum,0.3,High,WSEC Baseline,Low [200W],25,1,2.4,21,22.9,10.1,-2.6,0.513,53.7
VAV,Low,Minimum,0.3,Medium,WSEC Baseline,Low [200W],25,1.03,2.5,21,22.9,10.5,-2.6,0.519,54.4
VAV,Low,Minimum,0.3,Low,WSEC Baseline,Low [200W],25,1.06,2.7,21.1,22.9,11.1,-2.6,0.528,55.3
VAV,Low,Minimum,0.4,High,WSEC Baseline,Low [200W],25,1.18,2.5,21.9,22.9,10.4,-2.6,0.525,55.1
VAV,Low,Minimum,0.4,Medium,WSEC Baseline,Low [200W],25,1.21,2.7,22,22.9,10.8,-2.6,0.533,55.9
VAV,Low,Minimum,0.4,Low,WSEC Baseline,Low [200W],25,1.24,3,22.1,22.9,11.6,-2.6,0.544,57
VAV,Low,Minimum,0.5,High,WSEC Baseline,Low [200W],25,1.36,2.6,22.8,22.9,10.7,-2.6,0.537,56.5
VAV,Low,Minimum,0.5,Medium,WSEC Baseline,Low [200W],25,1.39,2.8,23.1,22.9,11.1,-2.6,0.546,57.4
VAV,Low,Minimum,0.5,Low,WSEC Baseline,Low [200W],25,1.42,3.1,23.1,22.9,12.1,-2.6,0.559,58.6
VAV,Low,Minimum,0.6,High,WSEC Baseline,Low [200W],25,1.54,2.8,23.8,22.9,10.9,-2.6,0.548,57.8
VAV,Low,Minimum,0.6,Medium,WSEC Baseline,Low [200W],25,1.57,3,24,22.9,11.5,-2.6,0.559,58.8
VAV,Low,Minimum,0.6,Low,WSEC Baseline,Low [200W],25,1.6,3.3,24,22.9,12.7,-2.6,0.575,60.4
VAV,Low,Minimum,0.3,High,WSEC Baseline,Med [300W],25,1.3,2.7,20,27.5,11.7,-2.6,0.573,59.3
VAV,Low,Minimum,0.3,Medium,WSEC Baseline,Med [300W],25,1.33,2.8,20.1,27.5,12.1,-2.6,0.58,59.8
VAV,Low,Minimum,0.3,Low,WSEC Baseline,Med [300W],25,1.36,3.1,20.1,27.5,12.7,-2.6,0.59,60.8
VAV,Low,Minimum,0.4,High,WSEC Baseline,Med [300W],25,1.48,2.8,20.9,27.5,12,-2.6,0.585,60.6
VAV,Low,Minimum,0.4,Medium,WSEC Baseline,Med [300W],25,1.51,3,21.1,27.5,12.5,-2.6,0.594,61.4
VAV,Low,Minimum,0.4,Low,WSEC Baseline,Med [300W],25,1.54,3.3,21.2,27.5,13.3,-2.6,0.607,62.7
VAV,Low,Minimum,0.5,High,WSEC Baseline,Med [300W],25,1.66,2.9,21.8,27.5,12.3,-2.6,0.597,61.9
VAV,Low,Minimum,0.5,Medium,WSEC Baseline,Med [300W],25,1.69,3.1,22.1,27.5,12.9,-2.6,0.607,63
VAV,Low,Minimum,0.5,Low,WSEC Baseline,Med [300W],25,1.72,3.5,22.2,27.5,13.9,-2.6,0.623,64.5
VAV,Low,Minimum,0.6,High,WSEC Baseline,Med [300W],25,1.84,3.1,22.8,27.5,12.5,-2.6,0.609,63.2
VAV,Low,Minimum,0.6,Medium,WSEC Baseline,Med [300W],25,1.87,3.3,23,27.5,13.2,-2.6,0.621,64.4
VAV,Low,Minimum,0.6,Low,WSEC Baseline,Med [300W],25,1.9,3.7,23.3,27.5,14.5,-2.6,0.64,66.3
VAV,Low,Minimum,0.3,High,WSEC Baseline,High [400W],25,1.6,3,19.1,32,13.5,-2.6,0.637,65
VAV,Low,Minimum,0.3,Medium,WSEC Baseline,High [400W],25,1.63,3.1,19.2,32,13.9,-2.6,0.644,65.7
VAV,Low,Minimum,0.3,Low,WSEC Baseline,High [400W],25,1.66,3.4,19.3,32,14.6,-2.6,0.654,66.7
VAV,Low,Minimum,0.4,High,WSEC Baseline,High [400W],25,1.78,3.1,20,32,13.8,-2.6,0.649,66.4
VAV,Low,Minimum,0.4,Medium,WSEC Baseline,High [400W],25,1.81,3.3,20.2,32,14.3,-2.6,0.658,67.3
VAV,Low,Minimum,0.4,Low,WSEC Baseline,High [400W],25,1.84,3.6,20.4,32,15.3,-2.6,0.672,68.7
VAV,Low,Minimum,0.5,High,WSEC Baseline,High [400W],25,1.96,3.3,20.9,32,14.1,-2.6,0.661,67.7
VAV,Low,Minimum,0.5,Medium,WSEC Baseline,High [400W],25,1.99,3.5,21.3,32,14.7,-2.6,0.672,68.9
VAV,Low,Minimum,0.5,Low,WSEC Baseline,High [400W],25,2.02,3.8,21.6,32,15.9,-2.6,0.69,70.6
VAV,Low,Minimum,0.6,High,WSEC Baseline,High [400W],25,2.14,3.4,21.9,32,14.4,-2.6,0.672,69.1
VAV,Low,Minimum,0.6,Medium,WSEC Baseline,High [400W],25,2.17,3.6,22.3,32,15.2,-2.6,0.686,70.5
VAV,Low,Minimum,0.6,Low,WSEC Baseline,High [400W],25,2.2,4,22.7,32,16.5,-2.6,0.708,72.7
DOAS,Low,Minimum,0.3,High,WSEC Baseline,Low [200W],25,0.25,4,13.4,22.9,7.2,-2.6,0.439,44.9
DOAS,Low,Minimum,0.3,Medium,WSEC Baseline,Low [200W],25,0.25,4.1,13.4,22.9,7.2,-2.6,0.441,45.1
DOAS,Low,Minimum,0.3,Low,WSEC Baseline,Low [200W],25,0.25,4.3,13.4,22.9,7.3,-2.6,0.444,45.4
DOAS,Low,Minimum,0.4,High,WSEC Baseline,Low [200W],25,0.25,4,14.3,22.9,7.2,-2.6,0.447,45.9
DOAS,Low,Minimum,0.4,Medium,WSEC Baseline,Low [200W],25,0.25,4.2,14.3,22.9,7.3,-2.6,0.45,46.2
DOAS,Low,Minimum,0.4,Low,WSEC Baseline,Low [200W],25,0.25,4.5,14.3,22.9,7.4,-2.6,0.454,46.6
DOAS,Low,Minimum,0.5,High,WSEC Baseline,Low [200W],25,0.25,4.1,15.1,22.9,7.3,-2.6,0.455,46.8
DOAS,Low,Minimum,0.5,Medium,WSEC Baseline,Low [200W],25,0.25,4.3,15.2,22.9,7.3,-2.6,0.458,47.2
DOAS,Low,Minimum,0.5,Low,WSEC Baseline,Low [200W],25,0.25,4.7,15.2,22.9,7.5,-2.6,0.464,47.7
DOAS,Low,Minimum,0.6,High,WSEC Baseline,Low [200W],25,0.25,4.2,15.9,22.9,7.3,-2.6,0.462,47.7
DOAS,Low,Minimum,0.6,Medium,WSEC Baseline,Low [200W],25,0.25,4.4,16,22.9,7.4,-2.6,0.467,48.2
DOAS,Low,Minimum,0.6,Low,WSEC Baseline,Low [200W],25,0.25,4.9,16.1,22.9,7.5,-2.6,0.473,48.8
DOAS,Low,Minimum,0.3,High,WSEC Baseline,Med [300W],25,0.25,4.7,12.7,27.5,7.3,-2.6,0.491,49.6
DOAS,Low,Minimum,0.3,Medium,WSEC Baseline,Med [300W],25,0.25,4.9,12.7,27.5,7.4,-2.6,0.493,49.9
DOAS,Low,Minimum,0.3,Low,WSEC Baseline,Med [300W],25,0.25,5.1,12.7,27.5,7.5,-2.6,0.496,50.2
DOAS,Low,Minimum,0.4,High,WSEC Baseline,Med [300W],25,0.25,4.8,13.5,27.5,7.4,-2.6,0.498,50.6
DOAS,Low,Minimum,0.4,Medium,WSEC Baseline,Med [300W],25,0.25,5,13.6,27.5,7.5,-2.6,0.502,50.9
DOAS,Low,Minimum,0.4,Low,WSEC Baseline,Med [300W],25,0.25,5.3,13.6,27.5,7.6,-2.6,0.506,51.3
DOAS,Low,Minimum,0.5,High,WSEC Baseline,Med [300W],25,0.25,4.9,14.3,27.5,7.4,-2.6,0.506,51.5
DOAS,Low,Minimum,0.5,Medium,WSEC Baseline,Med [300W],25,0.25,5.1,14.4,27.5,7.5,-2.6,0.51,51.9
DOAS,Low,Minimum,0.5,Low,WSEC Baseline,Med [300W],25,0.25,5.5,14.5,27.5,7.7,-2.6,0.516,52.5
DOAS,Low,Minimum,0.6,High,WSEC Baseline,Med [300W],25,0.25,4.9,15.1,27.5,7.5,-2.6,0.514,52.4
DOAS,Low,Minimum,0.6,Medium,WSEC Baseline,Med [300W],25,0.25,5.2,15.2,27.5,7.6,-2.6,0.518,52.9
DOAS,Low,Minimum,0.6,Low,WSEC Baseline,Med [300W],25,0.25,5.6,15.3,27.5,7.7,-2.6,0.526,53.6
DOAS,Low,Minimum,0.3,High,WSEC Baseline,High [400W],25,0.25,5.5,12.2,32,7.5,-2.6,0.544,54.6
DOAS,Low,Minimum,0.3,Medium,WSEC Baseline,High [400W],25,0.25,5.6,12.2,32,7.5,-2.6,0.547,54.8
DOAS,Low,Minimum,0.3,Low,WSEC Baseline,High [400W],25,0.25,5.9,12.2,32,7.6,-2.6,0.55,55.1
DOAS,Low,Minimum,0.4,High,WSEC Baseline,High [400W],25,0.25,5.6,12.9,32,7.5,-2.6,0.552,55.5
DOAS,Low,Minimum,0.4,Medium,WSEC Baseline,High [400W],25,0.25,5.8,13,32,7.6,-2.6,0.555,55.8
DOAS,Low,Minimum,0.4,Low,WSEC Baseline,High [400W],25,0.25,6.1,13.1,32,7.7,-2.6,0.56,56.3
DOAS,Low,Minimum,0.5,High,WSEC Baseline,High [400W],25,0.25,5.6,13.7,32,7.6,-2.6,0.559,56.4
DOAS,Low,Minimum,0.5,Medium,WSEC Baseline,High [400W],25,0.25,5.9,13.9,32,7.7,-2.6,0.564,56.8
DOAS,Low,Minimum,0.5,Low,WSEC Baseline,High [400W],25,0.25,6.3,13.9,32,7.8,-2.6,0.57,57.5
DOAS,Low,Minimum,0.6,High,WSEC Baseline,High [400W],25,0.25,5.7,14.5,32,7.6,-2.6,0.566,57.2
DOAS,Low,Minimum,0.6,Medium,WSEC Baseline,High [400W],25,0.25,6,14.6,32,7.8,-2.6,0.572,57.8
DOAS,Low,Minimum,0.6,Low,WSEC Baseline,High [400W],25,0.25,6.4,14.8,32,7.9,-2.6,0.579,58.5
VAV,High,30% increase,0.3,High,WSEC Baseline,Low [200W],25,1,2.3,8.9,22.9,10.3,-2.6,0.44,41.8
VAV,High,30% increase,0.3,Medium,WSEC Baseline,Low [200W],25,1.03,2.4,8.8,22.9,10.9,-2.6,0.447,42.5
VAV,High,30% increase,0.3,Low,WSEC Baseline,Low [200W],25,1.06,2.6,8.7,22.9,11.7,-2.6,0.458,43.5
VAV,High,30% increase,0.4,High,WSEC Baseline,Low [200W],25,1.18,2.4,9.1,22.9,10.8,-2.6,0.45,42.7
VAV,High,30% increase,0.4,Medium,WSEC Baseline,Low [200W],25,1.21,2.6,9.1,22.9,11.5,-2.6,0.459,43.5
VAV,High,30% increase,0.4,Low,WSEC Baseline,Low [200W],25,1.24,2.9,9.1,22.9,12.4,-2.6,0.471,44.7
VAV,High,30% increase,0.5,High,WSEC Baseline,Low [200W],25,1.36,2.5,9.4,22.9,11.3,-2.6,0.459,43.6
VAV,High,30% increase,0.5,Medium,WSEC Baseline,Low [200W],25,1.39,2.7,9.4,22.9,12,-2.6,0.469,44.5
VAV,High,30% increase,0.5,Low,WSEC Baseline,Low [200W],25,1.42,3.1,9.4,22.9,13,-2.6,0.482,45.7
VAV,High,30% increase,0.6,High,WSEC Baseline,Low [200W],25,1.54,2.7,9.7,22.9,11.7,-2.6,0.468,44.3
VAV,High,30% increase,0.6,Medium,WSEC Baseline,Low [200W],25,1.57,2.9,9.7,22.9,12.4,-2.6,0.478,45.4
VAV,High,30% increase,0.6,Low,WSEC Baseline,Low [200W],25,1.6,3.2,9.7,22.9,13.5,-2.6,0.494,46.8
VAV,High,30% increase,0.3,High,WSEC Baseline,Med [300W],25,1.3,2.6,8.5,27.5,11.9,-2.6,0.505,47.9
VAV,High,30% increase,0.3,Medium,WSEC Baseline,Med [300W],25,1.33,2.7,8.5,27.5,12.5,-2.6,0.512,48.6
VAV,High,30% increase,0.3,Low,WSEC Baseline,Med [300W],25,1.36,3,8.4,27.5,13.4,-2.6,0.523,49.7
VAV,High,30% increase,0.4,High,WSEC Baseline,Med [300W],25,1.48,2.7,8.8,27.5,12.4,-2.6,0.514,48.8
VAV,High,30% increase,0.4,Medium,WSEC Baseline,Med [300W],25,1.51,2.9,8.7,27.5,13.2,-2.6,0.524,49.7
VAV,High,30% increase,0.4,Low,WSEC Baseline,Med [300W],25,1.54,3.2,8.7,27.5,14.2,-2.6,0.537,51
VAV,High,30% increase,0.5,High,WSEC Baseline,Med [300W],25,1.66,2.8,9,27.5,12.9,-2.6,0.523,49.7
VAV,High,30% increase,0.5,Medium,WSEC Baseline,Med [300W],25,1.69,3.1,9.1,27.5,13.7,-2.6,0.534,50.7
VAV,High,30% increase,0.5,Low,WSEC Baseline,Med [300W],25,1.72,3.4,9.1,27.5,14.7,-2.6,0.549,52.1
VAV,High,30% increase,0.6,High,WSEC Baseline,Med [300W],25,1.84,3,9.3,27.5,13.3,-2.6,0.532,50.4
VAV,High,30% increase,0.6,Medium,WSEC Baseline,Med [300W],25,1.87,3.2,9.4,27.5,14.1,-2.6,0.544,51.6
VAV,High,30% increase,0.6,Low,WSEC Baseline,Med [300W],25,1.9,3.6,9.5,27.5,15.4,-2.6,0.562,53.3
VAV,High,30% increase,0.3,High,WSEC Baseline,High [400W],25,1.6,2.9,8.2,32,13.8,-2.6,0.572,54.4
VAV,High,30% increase,0.3,Medium,WSEC Baseline,High [400W],25,1.63,3.1,8.1,32,14.4,-2.6,0.58,55.1
VAV,High,30% increase,0.3,Low,WSEC Baseline,High [400W],25,1.66,3.3,8.1,32,15.3,-2.6,0.592,56.1
VAV,High,30% increase,0.4,High,WSEC Baseline,High [400W],25,1.78,3,8.4,32,14.3,-2.6,0.582,55.2
VAV,High,30% increase,0.4,Medium,WSEC Baseline,High [400W],25,1.81,3.2,8.4,32,15,-2.6,0.591,56.1
VAV,High,30% increase,0.4,Low,WSEC Baseline,High [400W],25,1.84,3.5,8.4,32,16.1,-2.6,0.606,57.5
VAV,High,30% increase,0.5,High,WSEC Baseline,High [400W],25,1.96,3.2,8.7,32,14.8,-2.6,0.591,56.1
VAV,High,30% increase,0.5,Medium,WSEC Baseline,High [400W],25,1.99,3.4,8.8,32,15.6,-2.6,0.602,57.1
VAV,High,30% increase,0.5,Low,WSEC Baseline,High [400W],25,2.02,3.7,8.8,32,16.8,-2.6,0.619,58.8
VAV,High,30% increase,0.6,High,WSEC Baseline,High [400W],25,2.14,3.3,9,32,15.2,-2.6,0.6,56.8
VAV,High,30% increase,0.6,Medium,WSEC Baseline,High [400W],25,2.17,3.5,9.1,32,16,-2.6,0.613,58.1
VAV,High,30% increase,0.6,Low,WSEC Baseline,High [400W],25,2.2,3.9,9.2,32,17.5,-2.6,0.633,60
DOAS,High,30% increase,0.3,High,WSEC Baseline,Low [200W],25,0.3,3.9,6.2,22.9,9.3,-2.6,0.418,39.7
DOAS,High,30% increase,0.3,Medium,WSEC Baseline,Low [200W],25,0.3,4,6.2,22.9,9.3,-2.6,0.42,39.8
DOAS,High,30% increase,0.3,Low,WSEC Baseline,Low [200W],25,0.3,4.2,6.2,22.9,9.4,-2.6,0.422,40.1
DOAS,High,30% increase,0.4,High,WSEC Baseline,Low [200W],25,0.3,3.9,6.5,22.9,9.3,-2.6,0.422,40.1
DOAS,High,30% increase,0.4,Medium,WSEC Baseline,Low [200W],25,0.3,4.1,6.5,22.9,9.3,-2.6,0.424,40.2
DOAS,High,30% increase,0.4,Low,WSEC Baseline,Low [200W],25,0.3,4.4,6.5,22.9,9.4,-2.6,0.428,40.6
DOAS,High,30% increase,0.5,High,WSEC Baseline,Low [200W],25,0.3,4,6.8,22.9,9.3,-2.6,0.426,40.5
DOAS,High,30% increase,0.5,Medium,WSEC Baseline,Low [200W],25,0.3,4.2,6.8,22.9,9.4,-2.6,0.429,40.7
DOAS,High,30% increase,0.5,Low,WSEC Baseline,Low [200W],25,0.3,4.6,6.8,22.9,9.5,-2.6,0.434,41.2
DOAS,High,30% increase,0.6,High,WSEC Baseline,Low [200W],25,0.3,4.1,7.1,22.9,9.3,-2.6,0.43,40.8
DOAS,High,30% increase,0.6,Medium,WSEC Baseline,Low [200W],25,0.3,4.3,7.1,22.9,9.4,-2.6,0.434,41.1
DOAS,High,30% increase,0.6,Low,WSEC Baseline,Low [200W],25,0.3,4.7,7.1,22.9,9.5,-2.6,0.439,41.7
DOAS,High,30% increase,0.3,High,WSEC Baseline,Med [300W],25,0.3,4.6,6,27.5,9.4,-2.6,0.473,44.9
DOAS,High,30% increase,0.3,Medium,WSEC Baseline,Med [300W],25,0.3,4.7,6,27.5,9.4,-2.6,0.475,45.1
DOAS,High,30% increase,0.3,Low,WSEC Baseline,Med [300W],25,0.3,5,6,27.5,9.5,-2.6,0.478,45.3
DOAS,High,30% increase,0.4,High,WSEC Baseline,Med [300W],25,0.3,4.7,6.3,27.5,9.4,-2.6,0.477,45.3
DOAS,High,30% increase,0.4,Medium,WSEC Baseline,Med [300W],25,0.3,4.8,6.3,27.5,9.5,-2.6,0.48,45.5
DOAS,High,30% increase,0.4,Low,WSEC Baseline,Med [300W],25,0.3,5.1,6.3,27.5,9.6,-2.6,0.484,45.9
DOAS,High,30% increase,0.5,High,WSEC Baseline,Med [300W],25,0.3,4.7,6.6,27.5,9.5,-2.6,0.481,45.7
DOAS,High,30% increase,0.5,Medium,WSEC Baseline,Med [300W],25,0.3,4.9,6.6,27.5,9.5,-2.6,0.484,45.9
DOAS,High,30% increase,0.5,Low,WSEC Baseline,Med [300W],25,0.3,5.3,6.6,27.5,9.7,-2.6,0.489,46.4
DOAS,High,30% increase,0.6,High,WSEC Baseline,Med [300W],25,0.3,4.8,6.8,27.5,9.5,-2.6,0.485,46.1
DOAS,High,30% increase,0.6,Medium,WSEC Baseline,Med [300W],25,0.3,5.1,6.9,27.5,9.6,-2.6,0.489,46.4
DOAS,High,30% increase,0.6,Low,WSEC Baseline,Med [300W],25,0.3,5.5,6.9,27.5,9.7,-2.6,0.495,46.9
DOAS,High,30% increase,0.3,High,WSEC Baseline,High [400W],25,0.3,5.4,5.7,32,9.5,-2.6,0.528,50
DOAS,High,30% increase,0.3,Medium,WSEC Baseline,High [400W],25,0.3,5.5,5.7,32,9.6,-2.6,0.53,50.3
DOAS,High,30% increase,0.3,Low,WSEC Baseline,High [400W],25,0.3,5.7,5.7,32,9.7,-2.6,0.533,50.6
DOAS,High,30% increase,0.4,High,WSEC Baseline,High [400W],25,0.3,5.4,6,32,9.6,-2.6,0.532,50.4
DOAS,High,30% increase,0.4,Medium,WSEC Baseline,High [400W],25,0.3,5.6,6,32,9.6,-2.6,0.535,50.7
DOAS,High,30% increase,0.4,Low,WSEC Baseline,High [400W],25,0.3,5.9,6,32,9.8,-2.6,0.539,51.2
DOAS,High,30% increase,0.5,High,WSEC Baseline,High [400W],25,0.3,5.5,6.3,32,9.6,-2.6,0.536,50.8
DOAS,High,30% increase,0.5,Medium,WSEC Baseline,High [400W],25,0.3,5.7,6.3,32,9.7,-2.6,0.539,51.1
DOAS,High,30% increase,0.5,Low,WSEC Baseline,High [400W],25,0.3,6.1,6.3,32,9.8,-2.6,0.545,51.6
DOAS,High,30% increase,0.6,High,WSEC Baseline,High [400W],25,0.3,5.6,6.6,32,9.7,-2.6,0.54,51.2
DOAS,High,30% increase,0.6,Medium,WSEC Baseline,High [400W],25,0.3,5.8,6.6,32,9.8,-2.6,0.544,51.6
DOAS,High,30% increase,0.6,Low,WSEC Baseline,High [400W],25,0.3,6.3,6.6,32,9.9,-2.6,0.551,52.2
VAV,High,Minimum,0.3,High,WSEC Baseline,Low [200W],25,1,2.4,7.6,22.9,10.1,-2.6,0.425,40.3
VAV,High,Minimum,0.3,Medium,WSEC Baseline,Low [200W],25,1.03,2.5,7.6,22.9,10.5,-2.6,0.431,40.9
VAV,High,Minimum,0.3,Low,WSEC Baseline,Low [200W],25,1.06,2.7,7.6,22.9,11.1,-2.6,0.44,41.8
VAV,High,Minimum,0.4,High,WSEC Baseline,Low [200W],25,1.18,2.5,7.9,22.9,10.4,-2.6,0.433,41.1
VAV,High,Minimum,0.4,Medium,WSEC Baseline,Low [200W],25,1.21,2.7,7.9,22.9,10.8,-2.6,0.44,41.8
VAV,High,Minimum,0.4,Low,WSEC Baseline,Low [200W],25,1.24,3,8,22.9,11.6,-2.6,0.451,42.8
VAV,High,Minimum,0.5,High,WSEC Baseline,Low [200W],25,1.36,2.6,8.2,22.9,10.7,-2.6,0.441,41.9
VAV,High,Minimum,0.5,Medium,WSEC Baseline,Low [200W],25,1.39,2.8,8.3,22.9,11.1,-2.6,0.449,42.6
VAV,High,Minimum,0.5,Low,WSEC Baseline,Low [200W],25,1.42,3.1,8.3,22.9,12.1,-2.6,0.462,43.8
VAV,High,Minimum,0.6,High,WSEC Baseline,Low [200W],25,1.54,2.8,8.6,22.9,10.9,-2.6,0.448,42.6
VAV,High,Minimum,0.6,Medium,WSEC Baseline,Low [200W],25,1.57,3,8.6,22.9,11.5,-2.6,0.458,43.4
VAV,High,Minimum,0.6,Low,WSEC Baseline,Low [200W],25,1.6,3.3,8.7,22.9,12.7,-2.6,0.474,45
VAV,High,Minimum,0.3,High,WSEC Baseline,Med [300W],25,1.3,2.7,7.2,27.5,11.7,-2.6,0.489,46.5
VAV,High,Minimum,0.3,Medium,WSEC Baseline,Med [300W],25,1.33,2.8,7.2,27.5,12.1,-2.6,0.496,47
VAV,High,Minimum,0.3,Low,WSEC Baseline,Med [300W],25,1.36,3.1,7.2,27.5,12.7,-2.6,0.505,47.9
VAV,High,Minimum,0.4,High,WSEC Baseline,Med [300W],25,1.48,2.8,7.5,27.5,12,-2.6,0.498,47.2
VAV,High,Minimum,0.4,Medium,WSEC Baseline,Med [300W],25,1.51,3,7.6,27.5,12.5,-2.6,0.505,48
VAV,High,Minimum,0.4,Low,WSEC Baseline,Med [300W],25,1.54,3.3,7.6,27.5,13.3,-2.6,0.518,49.2
VAV,High,Minimum,0.5,High,WSEC Baseline,Med [300W],25,1.66,2.9,7.9,27.5,12.3,-2.6,0.505,48
VAV,High,Minimum,0.5,Medium,WSEC Baseline,Med [300W],25,1.69,3.1,8,27.5,12.9,-2.6,0.515,48.9
VAV,High,Minimum,0.5,Low,WSEC Baseline,Med [300W],25,1.72,3.5,8,27.5,13.9,-2.6,0.53,50.2
VAV,High,Minimum,0.6,High,WSEC Baseline,Med [300W],25,1.84,3.1,8.2,27.5,12.5,-2.6,0.513,48.7
VAV,High,Minimum,0.6,Medium,WSEC Baseline,Med [300W],25,1.87,3.3,8.3,27.5,13.2,-2.6,0.524,49.7
VAV,High,Minimum,0.6,Low,WSEC Baseline,Med [300W],25,1.9,3.7,8.4,27.5,14.5,-2.6,0.542,51.4
VAV,High,Minimum,0.3,High,WSEC Baseline,High [400W],25,1.6,3,6.9,32,13.5,-2.6,0.556,52.7
VAV,High,Minimum,0.3,Medium,WSEC Baseline,High [400W],25,1.63,3.1,6.9,32,13.9,-2.6,0.563,53.4
VAV,High,Minimum,0.3,Low,WSEC Baseline,High [400W],25,1.66,3.4,6.9,32,14.6,-2.6,0.573,54.4
VAV,High,Minimum,0.4,High,WSEC Baseline,High [400W],25,1.78,3.1,7.2,32,13.8,-2.6,0.565,53.6
VAV,High,Minimum,0.4,Medium,WSEC Baseline,High [400W],25,1.81,3.3,7.3,32,14.3,-2.6,0.573,54.3
VAV,High,Minimum,0.4,Low,WSEC Baseline,High [400W],25,1.84,3.6,7.4,32,15.3,-2.6,0.587,55.6
VAV,High,Minimum,0.5,High,WSEC Baseline,High [400W],25,1.96,3.3,7.5,32,14.1,-2.6,0.573,54.3
VAV,High,Minimum,0.5,Medium,WSEC Baseline,High [400W],25,1.99,3.5,7.7,32,14.7,-2.6,0.583,55.3
VAV,High,Minimum,0.5,Low,WSEC Baseline,High [400W],25,2.02,3.8,7.8,32,15.9,-2.6,0.599,56.8
VAV,High,Minimum,0.6,High,WSEC Baseline,High [400W],25,2.14,3.4,7.9,32,14.4,-2.6,0.581,55.1
VAV,High,Minimum,0.6,Medium,WSEC Baseline,High [400W],25,2.17,3.6,8,32,15.2,-2.6,0.593,56.3
VAV,High,Minimum,0.6,Low,WSEC Baseline,High [400W],25,2.2,4,8.2,32,16.5,-2.6,0.613,58.1
DOAS,High,Minimum,0.3,High,WSEC Baseline,Low [200W],25,0.25,4,4.8,22.9,7.2,-2.6,0.383,36.3
DOAS,High,Minimum,0.3,Medium,WSEC Baseline,Low [200W],25,0.25,4.1,4.8,22.9,7.2,-2.6,0.385,36.5
