in:HVAC System Type,in:Plant Performance,in:Outdoor Air Quantity,in:Percent Glazing [%],in:Glazing Performance,in:Lighting Power,in:Avg. Workstation Power [W],in:Roof PV Coverage [%],out:AHU Sizing [CFM/SF],out:Cooling [EUI],out:Heating [EUI],out:Lights/Plug [EUI],out:Fan/Pump [EUI],out:PV [EUI],out:Utility Cost [$/SF-yr],out:Total [EUI]
DOAS,Low,30% increase,0.4,Medium,WSEC Baseline,Low [200W],0,0.3,4.1,18.1,22.9,9.3,0,0.528,54.4
DOAS,Low,30% increase,0.4,Low,WSEC Baseline,Low [200W],0,0.3,4.4,18,22.9,9.4,0,0.532,54.7
DOAS,Low,30% increase,0.5,High,WSEC Baseline,Low [200W],0,0.3,4,18.9,22.9,9.3,0,0.534,55.2
DOAS,Low,30% increase,0.5,Medium,WSEC Baseline,Low [200W],0,0.3,4.2,19,22.9,9.4,0,0.537,55.4
DOAS,Low,30% increase,0.5,Low,WSEC Baseline,Low [200W],0,0.3,4.6,18.9,22.9,9.5,0,0.541,55.9
DOAS,Low,30% increase,0.6,High,WSEC Baseline,Low [200W],0,0.3,4.1,19.7,22.9,9.3,0,0.541,56
DOAS,Low,30% increase,0.6,Medium,WSEC Baseline,Low [200W],0,0.3,4.3,19.8,22.9,9.4,0,0.545,56.4
DOAS,Low,30% increase,0.6,Low,WSEC Baseline,Low [200W],0,0.3,4.7,19.7,22.9,9.5,0,0.55,56.9
DOAS,Low,30% increase,0.3,High,WSEC Baseline,Med [300W],0,0.3,4.6,16.6,27.5,9.4,0,0.571,58.1
DOAS,Low,30% increase,0.3,Medium,WSEC Baseline,Med [300W],0,0.3,4.7,16.6,27.5,9.4,0,0.572,58.3
DOAS,Low,30% increase,0.3,Low,WSEC Baseline,Med [300W],0,0.3,5,16.5,27.5,9.5,0,0.575,58.5
DOAS,Low,30% increase,0.4,High,WSEC Baseline,Med [300W],0,0.3,4.7,17.4,27.5,9.4,0,0.578,59
DOAS,Low,30% increase,0.4,Medium,WSEC Baseline,Med [300W],0,0.3,4.8,17.5,27.5,9.5,0,0.581,59.3
DOAS,Low,30% increase,0.4,Low,WSEC Baseline,Med [300W],0,0.3,5.1,17.4,27.5,9.6,0,0.585,59.7
DOAS,Low,30% increase,0.5,High,WSEC Baseline,Med [300W],0,0.3,4.7,18.2,27.5,9.5,0,0.586,60
DOAS,Low,30% increase,0.5,Medium,WSEC Baseline,Med [300W],0,0.3,4.9,18.3,27.5,9.5,0,0.589,60.3
DOAS,Low,30% increase,0.5,Low,WSEC Baseline,Med [300W],0,0.3,5.3,18.3,27.5,9.7,0,0.594,60.7
DOAS,Low,30% increase,0.6,High,WSEC Baseline,Med [300W],0,0.3,4.8,19,27.5,9.5,0,0.593,60.8
DOAS,Low,30% increase,0.6,Medium,WSEC Baseline,Med [300W],0,0.3,5.1,19.1,27.5,9.6,0,0.597,61.2
DOAS,Low,30% increase,0.6,Low,WSEC Baseline,Med [300W],0,0.3,5.5,19.1,27.5,9.7,0,0.603,61.7
DOAS,Low,30% increase,0.3,High,WSEC Baseline,High [400W],0,0.3,5.4,15.9,32,9.5,0,0.623,62.8
DOAS,Low,30% increase,0.3,Medium,WSEC Baseline,High [400W],0,0.3,5.5,15.9,32,9.6,0,0.625,63.1
DOAS,Low,30% increase,0.3,Low,WSEC Baseline,High [400W],0,0.3,5.7,15.9,32,9.7,0,0.628,63.3
DOAS,Low,30% increase,0.4,High,WSEC Baseline,High [400W],0,0.3,5.4,16.7,32,9.6,0,0.63,63.7
DOAS,Low,30% increase,0.4,Medium,WSEC Baseline,High [400W],0,0.3,5.6,16.8,32,9.6,0,0.633,64
DOAS,Low,30% increase,0.4,Low,WSEC Baseline,High [400W],0,0.3,5.9,16.7,32,9.8,0,0.637,64.5
DOAS,Low,30% increase,0.5,High,WSEC Baseline,High [400W],0,0.3,5.5,17.5,32,9.6,0,0.638,64.6
DOAS,Low,30% increase,0.5,Medium,WSEC Baseline,High [400W],0,0.3,5.7,17.6,32,9.7,0,0.641,65
DOAS,Low,30% increase,0.5,Low,WSEC Baseline,High [400W],0,0.3,6.1,17.6,32,9.8,0,0.647,65.5
DOAS,Low,30% increase,0.6,High,WSEC Baseline,High [400W],0,0.3,5.6,18.3,32,9.7,0,0.645,65.5
DOAS,Low,30% increase,0.6,Medium,WSEC Baseline,High [400W],0,0.3,5.8,18.4,32,9.8,0,0.649,66
DOAS,Low,30% increase,0.6,Low,WSEC Baseline,High [400W],0,0.3,6.3,18.4,32,9.9,0,0.656,66.6
VAV,Low,Minimum,0.3,High,WSEC Baseline,Low [200W],0,1,2.4,21,22.9,10.1,0,0.541,56.3
VAV,Low,Minimum,0.3,Medium,WSEC Baseline,Low [200W],0,1.03,2.5,21,22.9,10.5,0,0.547,57
VAV,Low,Minimum,0.3,Low,WSEC Baseline,Low [200W],0,1.06,2.7,21.1,22.9,11.1,0,0.556,57.9
VAV,Low,Minimum,0.4,High,WSEC Baseline,Low [200W],0,1.18,2.5,21.9,22.9,10.4,0,0.553,57.7
VAV,Low,Minimum,0.4,Medium,WSEC Baseline,Low [200W],0,1.21,2.7,22,22.9,10.8,0,0.561,58.5
VAV,Low,Minimum,0.4,Low,WSEC Baseline,Low [200W],0,1.24,3,22.1,22.9,11.6,0,0.572,59.6
VAV,Low,Minimum,0.5,High,WSEC Baseline,Low [200W],0,1.36,2.6,22.8,22.9,10.7,0,0.565,59.1
VAV,Low,Minimum,0.5,Medium,WSEC Baseline,Low [200W],0,1.39,2.8,23.1,22.9,11.1,0,0.574,60
VAV,Low,Minimum,0.5,Low,WSEC Baseline,Low [200W],0,1.42,3.1,23.1,22.9,12.1,0,0.587,61.2
VAV,Low,Minimum,0.6,High,WSEC Baseline,Low [200W],0,1.54,2.8,23.8,22.9,10.9,0,0.576,60.4
VAV,Low,Minimum,0.6,Medium,WSEC Baseline,Low [200W],0,1.57,3,24,22.9,11.5,0,0.587,61.4
VAV,Low,Minimum,0.6,Low,WSEC Baseline,Low [200W],0,1.6,3.3,24,22.9,12.7,0,0.603,63
VAV,Low,Minimum,0.3,High,WSEC Baseline,Med [300W],0,1.3,2.7,20,27.5,11.7,0,0.601,61.9
VAV,Low,Minimum,0.3,Medium,WSEC Baseline,Med [300W],0,1.33,2.8,20.1,27.5,12.1,0,0.608,62.4
VAV,Low,Minimum,0.3,Low,WSEC Baseline,Med [300W],0,1.36,3.1,20.1,27.5,12.7,0,0.618,63.4
VAV,Low,Minimum,0.4,High,WSEC Baseline,Med [300W],0,1.48,2.8,20.9,27.5,12,0,0.613,63.2
VAV,Low,Minimum,0.4,Medium,WSEC Baseline,Med [300W],0,1.51,3,21.1,27.5,12.5,0,0.622,64
VAV,Low,Minimum,0.4,Low,WSEC Baseline,Med [300W],0,1.54,3.3,21.2,27.5,13.3,0,0.635,65.3
VAV,Low,Minimum,0.5,High,WSEC Baseline,Med [300W],0,1.66,2.9,21.8,27.5,12.3,0,0.625,64.5
VAV,Low,Minimum,0.5,Medium,WSEC Baseline,Med [300W],0,1.69,3.1,22.1,27.5,12.9,0,0.635,65.6
VAV,Low,Minimum,0.5,Low,WSEC Baseline,Med [300W],0,1.72,3.5,22.2,27.5,13.9,0,0.651,67.1
VAV,Low,Minimum,0.6,High,WSEC Baseline,Med [300W],0,1.84,3.1,22.8,27.5,12.5,0,0.637,65.8
VAV,Low,Minimum,0.6,Medium,WSEC Baseline,Med [300W],0,1.87,3.3,23,27.5,13.2,0,0.649,67
VAV,Low,Minimum,0.6,Low,WSEC Baseline,Med [300W],0,1.9,3.7,23.3,27.5,14.5,0,0.668,68.9
VAV,Low,Minimum,0.3,High,WSEC Baseline,High [400W],0,1.6,3,19.1,32,13.5,0,0.665,67.6
VAV,Low,Minimum,0.3,Medium,WSEC Baseline,High [400W],0,1.63,3.1,19.2,32,13.9,0,0.672,68.3
VAV,Low,Minimum,0.3,Low,WSEC Baseline,High [400W],0,1.66,3.4,19.3,32,14.6,0,0.682,69.3
VAV,Low,Minimum,0.4,High,WSEC Baseline,High [400W],0,1.78,3.1,20,32,13.8,0,0.677,69
VAV,Low,Minimum,0.4,Medium,WSEC Baseline,High [400W],0,1.81,3.3,20.2,32,14.3,0,0.686,69.9
VAV,Low,Minimum,0.4,Low,WSEC Baseline,High [400W],0,1.84,3.6,20.4,32,15.3,0,0.7,71.3
VAV,Low,Minimum,0.5,High,WSEC Baseline,High [400W],0,1.96,3.3,20.9,32,14.1,0,0.689,70.3
VAV,Low,Minimum,0.5,Medium,WSEC Baseline,High [400W],0,1.99,3.5,21.3,32,14.7,0,0.7,71.5
VAV,Low,Minimum,0.5,Low,WSEC Baseline,High [400W],0,2.02,3.8,21.6,32,15.9,0,0.718,73.2
VAV,Low,Minimum,0.6,High,WSEC Baseline,High [400W],0,2.14,3.4,21.9,32,14.4,0,0.7,71.7
VAV,Low,Minimum,0.6,Medium,WSEC Baseline,High [400W],0,2.17,3.6,22.3,32,15.2,0,0.714,73.1
VAV,Low,Minimum,0.6,Low,WSEC Baseline,High [400W],0,2.2,4,22.7,32,16.5,0,0.736,75.3
DOAS,Low,Minimum,0.3,High,WSEC Baseline,Low [200W],0,0.25,4,13.4,22.9,7.2,0,0.467,47.5
DOAS,Low,Minimum,0.3,Medium,WSEC Baseline,Low [200W],0,0.25,4.1,13.4,22.9,7.2,0,0.469,47.7
DOAS,Low,Minimum,0.3,Low,WSEC Baseline,Low [200W],0,0.25,4.3,13.4,22.9,7.3,0,0.472,48
DOAS,Low,Minimum,0.4,High,WSEC Baseline,Low [200W],0,0.25,4,14.3,22.9,7.2,0,0.475,48.5
DOAS,Low,Minimum,0.4,Medium,WSEC Baseline,Low [200W],0,0.25,4.2,14.3,22.9,7.3,0,0.478,48.8
DOAS,Low,Minimum,0.4,Low,WSEC Baseline,Low [200W],0,0.25,4.5,14.3,22.9,7.4,0,0.482,49.2
DOAS,Low,Minimum,0.5,High,WSEC Baseline,Low [200W],0,0.25,4.1,15.1,22.9,7.3,0,0.483,49.4
DOAS,Low,Minimum,0.5,Medium,WSEC Baseline,Low [200W],0,0.25,4.3,15.2,22.9,7.3,0,0.486,49.8
DOAS,Low,Minimum,0.5,Low,WSEC Baseline,Low [200W],0,0.25,4.7,15.2,22.9,7.5,0,0.492,50.3
DOAS,Low,Minimum,0.6,High,WSEC Baseline,Low [200W],0,0.25,4.2,15.9,22.9,7.3,0,0.49,50.3
DOAS,Low,Minimum,0.6,Medium,WSEC Baseline,Low [200W],0,0.25,4.4,16,22.9,7.4,0,0.495,50.8
DOAS,Low,Minimum,0.6,Low,WSEC Baseline,Low [200W],0,0.25,4.9,16.1,22.9,7.5,0,0.501,51.4
DOAS,Low,Minimum,0.3,High,WSEC Baseline,Med [300W],0,0.25,4.7,12.7,27.5,7.3,0,0.519,52.2
DOAS,Low,Minimum,0.3,Medium,WSEC Baseline,Med [300W],0,0.25,4.9,12.7,27.5,7.4,0,0.521,52.5
DOAS,Low,Minimum,0.3,Low,WSEC Baseline,Med [300W],0,0.25,5.1,12.7,27.5,7.5,0,0.524,52.8
DOAS,Low,Minimum,0.4,High,WSEC Baseline,Med [300W],0,0.25,4.8,13.5,27.5,7.4,0,0.526,53.2
DOAS,Low,Minimum,0.4,Medium,WSEC Baseline,Med [300W],0,0.25,5,13.6,27.5,7.5,0,0.53,53.5
DOAS,Low,Minimum,0.4,Low,WSEC Baseline,Med [300W],0,0.25,5.3,13.6,27.5,7.6,0,0.534,53.9
DOAS,Low,Minimum,0.5,High,WSEC Baseline,Med [300W],0,0.25,4.9,14.3,27.5,7.4,0,0.534,54.1
DOAS,Low,Minimum,0.5,Medium,WSEC Baseline,Med [300W],0,0.25,5.1,14.4,27.5,7.5,0,0.538,54.5
DOAS,Low,Minimum,0.5,Low,WSEC Baseline,Med [300W],0,0.25,5.5,14.5,27.5,7.7,0,0.544,55.1
DOAS,Low,Minimum,0.6,High,WSEC Baseline,Med [300W],0,0.25,4.9,15.1,27.5,7.5,0,0.542,55
DOAS,Low,Minimum,0.6,Medium,WSEC Baseline,Med [300W],0,0.25,5.2,15.2,27.5,7.6,0,0.546,55.5
DOAS,Low,Minimum,0.6,Low,WSEC Baseline,Med [300W],0,0.25,5.6,15.3,27.5,7.7,0,0.554,56.2
DOAS,Low,Minimum,0.3,High,WSEC Baseline,High [400W],0,0.25,5.5,12.2,32,7.5,0,0.572,57.2
DOAS,Low,Minimum,0.3,Medium,WSEC Baseline,High [400W],0,0.25,5.6,12.2,32,7.5,0,0.575,57.4
DOAS,Low,Minimum,0.3,Low,WSEC Baseline,High [400W],0,0.25,5.9,12.2,32,7.6,0,0.578,57.7
DOAS,Low,Minimum,0.4,High,WSEC Baseline,High [400W],0,0.25,5.6,12.9,32,7.5,0,0.58,58.1
DOAS,Low,Minimum,0.4,Medium,WSEC Baseline,High [400W],0,0.25,5.8,13,32,7.6,0,0.583,58.4
DOAS,Low,Minimum,0.4,Low,WSEC Baseline,High [400W],0,0.25,6.1,13.1,32,7.7,0,0.588,58.9
DOAS,Low,Minimum,0.5,High,WSEC Baseline,High [400W],0,0.25,5.6,13.7,32,7.6,0,0.587,59
DOAS,Low,Minimum,0.5,Medium,WSEC Baseline,High [400W],0,0.25,5.9,13.9,32,7.7,0,0.592,59.4
DOAS,Low,Minimum,0.5,Low,WSEC Baseline,High [400W],0,0.25,6.3,13.9,32,7.8,0,0.598,60.1
DOAS,Low,Minimum,0.6,High,WSEC Baseline,High [400W],0,0.25,5.7,14.5,32,7.6,0,0.594,59.8
DOAS,Low,Minimum,0.6,Medium,WSEC Baseline,High [400W],0,0.25,6,14.6,32,7.8,0,0.6,60.4
DOAS,Low,Minimum,0.6,Low,WSEC Baseline,High [400W],0,0.25,6.4,14.8,32,7.9,0,0.607,61.1
VAV,High,30% increase,0.3,High,WSEC Baseline,Low [200W],0,1,2.3,8.9,22.9,10.3,0,0.468,44.4
VAV,High,30% increase,0.3,Medium,WSEC Baseline,Low [200W],0,1.03,2.4,8.8,22.9,10.9,0,0.475,45.1
VAV,High,30% increase,0.3,Low,WSEC Baseline,Low [200W],0,1.06,2.6,8.7,22.9,11.7,0,0.486,46.1
VAV,High,30% increase,0.4,High,WSEC Baseline,Low [200W],0,1.18,2.4,9.1,22.9,10.8,0,0.478,45.3
VAV,High,30% increase,0.4,Medium,WSEC Baseline,Low [200W],0,1.21,2.6,9.1,22.9,11.5,0,0.487,46.1
VAV,High,30% increase,0.4,Low,WSEC Baseline,Low [200W],0,1.24,2.9,9.1,22.9,12.4,0,0.499,47.3
VAV,High,30% increase,0.5,High,WSEC Baseline,Low [200W],0,1.36,2.5,9.4,22.9,11.3,0,0.487,46.2
VAV,High,30% increase,0.5,Medium,WSEC Baseline,Low [200W],0,1.39,2.7,9.4,22.9,12,0,0.497,47.1
VAV,High,30% increase,0.5,Low,WSEC Baseline,Low [200W],0,1.42,3.1,9.4,22.9,13,0,0.51,48.3
VAV,High,30% increase,0.6,High,WSEC Baseline,Low [200W],0,1.54,2.7,9.7,22.9,11.7,0,0.496,46.9
VAV,High,30% increase,0.6,Medium,WSEC Baseline,Low [200W],0,1.57,2.9,9.7,22.9,12.4,0,0.506,48
VAV,High,30% increase,0.6,Low,WSEC Baseline,Low [200W],0,1.6,3.2,9.7,22.9,13.5,0,0.522,49.4
VAV,High,30% increase,0.3,High,WSEC Baseline,Med [300W],0,1.3,2.6,8.5,27.5,11.9,0,0.533,50.5
VAV,High,30% increase,0.3,Medium,WSEC Baseline,Med [300W],0,1.33,2.7,8.5,27.5,12.5,0,0.54,51.2
